zip,donations,total,population,donations_pct
21835,19,79,207,91.78743961352657
21837,509,5382.609999999997,3322,153.22095123419626
21838,55,1579,1805,30.470914127423825
21840,59,936.9400000000002,353,167.1388101983003
21841,349,6055.21,1455,239.86254295532646
21842,2437,52256.51999999999,10525,231.54394299287412
21849,541,11445.820000000002,3659,147.8546050833561
21850,110,1634.26,3442,31.958163858221962
21851,810,13798.000000000004,7237,111.92483073096588
21853,555,8938.869999999994,11437,48.52671155023171
21856,221,2715.48,957,230.9299895506792
21861,42,1238.16,687,61.135371179039296
21862,2,20,86,23.25581395348837
21863,778,15254.77,4578,169.94320664045435
21864,59,2239.66,643,91.75738724727839
21865,284,5664.640000000003,433,655.8891454965358
21867,3,104,23,130.43478260869566
21869,178,1823.8399999999983,1155,154.1125541125541
21871,135,2733.2100000000005,2031,66.46971935007386
21872,51,683.82,585,87.17948717948717
21874,139,1668.7499999999998,1917,72.50912884715702
21875,853,14828.73,7084,120.41219649915303
2190,8,536.65,17466,0.4580327493415779
21901,2086,51409.42999999997,17694,117.89307109754719
21902,44,410,262,167.93893129770993
21903,1147,15152.06,5794,197.96341042457715
21904,1461,27753.210000000003,6484,225.32387415175816
21911,1120,18688.95999999996,11103,100.87363775556156
21912,119,4150.6,1520,78.28947368421052
21913,93,2956.27,901,103.21864594894562
21914,114,2967.6400000000003,804,141.7910447761194
21915,792,16423.720000000012,2739,289.1566265060241
21916,23,382,47,489.36170212765956
21917,167,6169.52,2017,82.796232027764
21918,604,11263.31,4321,139.7824577644064
21919,995,19727.17,2905,342.512908777969
21920,16,331,953,16.7890870933893
21921,6975,152703.25000000015,45225,154.22885572139302
21930,55,2363,120,458.3333333333333
22027,2,250,2427,0.8240626287597858
22042,41,200,36744,1.1158284345743523
22043,10,140,25012,0.39980809211578444
22044,23,467,14078,1.6337547947151583
22046,5,440,18639,0.26825473469606737
22066,1,100,17393,0.05749439429655609
22124,2,13,18377,0.10883169178864885
22150,1,10,29585,0.03380091262464086
22192,1,10,59670,0.016758840288252055
22204,1,47,53855,0.01856837805217714
22205,2,29,18570,0.10770059235325795
22207,2,88.25999999999999,34113,0.058628675285081935
22209,17,303.0399999999999,13172,1.2906164591557852
22213,3,12,4168,0.7197696737044146
22303,5,236.17,14688,0.3404139433551198
22304,3,60,49262,0.060898867281068574
22306,7,150.72,34391,0.2035416242621616
22307,2,3000,10286,0.19443904335990667
22310,9,95,32329,0.27838782517244576
22311,3,505,18890,0.15881418740074113
22314,3,62,35208,0.08520790729379686
22315,3,17,29634,0.10123506782749545
22401,20,409,29059,0.6882549296259334
22407,2,7,59551,0.033584658527984416
22551,2,55,20218,0.09892175289346128
22554,2,29,57488,0.034789869190091846
22601,14,226,29192,0.4795834475198684
22602,2,29.64,30665,0.06522093592043046
22654,2,1000,833,2.4009603841536613
22663,5,35,690,7.246376811594203
22701,1,10,34793,0.028741413502716064
22714,1,250,1027,0.9737098344693281
22738,8,193,1394,5.738880918220947
22740,1,48.26,922,1.0845986984815619
22801,5,275,40284,0.12411875682653162
22807,2,1100,3345,0.5979073243647235
22811,10,500,512,19.53125
22815,1,15,8915,0.11217049915872125
22842,1,20,5572,0.17946877243359657
